City_ID,City,Lat,Lng,Max Temp F,Humidity,Cloudiness,Wind Speed,Country,Date
245,selibaby,15.159,-12.1829,89.474,53,28,5.22,MR,2023-09-13 23:42:29
246,fale old settlement,-9.3852,-171.2468,83.40799999999999,75,3,6.45,TK,2023-09-13 23:42:29
247,iskateley,67.6803,53.1512,57.794,86,90,8.98,RU,2023-09-13 23:42:29
248,marsabit,2.3284,37.9899,62.852,67,16,9.49,KE,2023-09-13 23:42:30
249,mgandu,-5.95,34.1333,62.762,68,1,6.01,TZ,2023-09-13 23:42:30
250,anadyr,64.75,177.4833,45.104,87,75,3.0,RU,2023-09-13 23:42:30
251,port macquarie,-31.4333,152.9167,69.89,39,3,1.77,AU,2023-09-13 23:36:23
252,mokhsogollokh,61.4681,128.9203,45.878,74,100,2.65,RU,2023-09-13 23:42:31
253,nogliki,51.8333,143.1667,59.324,52,0,6.2,RU,2023-09-13 23:42:32
254,nemuro,43.3236,145.575,62.618,98,100,4.82,JP,2023-09-13 23:42:32
255,chonchi,-42.6128,-73.8092,50.126,97,100,6.84,CL,2023-09-13 23:42:32
256,san antonio de pale,-1.4014,5.6325,74.624,82,61,4.44,GQ,2023-09-13 23:42:33
257,port douglas,-16.4833,145.4667,74.96600000000001,58,85,5.4,AU,2023-09-13 23:42:33
258,natal,-5.795,-35.2094,75.848,94,75,5.66,BR,2023-09-13 23:41:02
259,nuku'alofa,-21.1333,-175.2,79.142,73,75,6.17,TO,2023-09-13 23:42:34
260,morondava,-20.2833,44.2833,72.176,80,0,4.43,MG,2023-09-13 23:42:34
261,jinchang,38.4953,102.1739,76.406,29,66,2.29,CN,2023-09-13 23:42:34
262,luanda,-8.8368,13.2343,73.4,78,40,2.06,AO,2023-09-13 23:42:34
263,port lincoln,-34.7333,135.8667,71.114,31,100,11.76,AU,2023-09-13 23:42:35
264,talara,-4.5772,-81.2719,74.156,73,0,9.59,PE,2023-09-13 23:42:35
265,kish,26.5578,54.0194,89.86999999999999,84,41,3.09,IR,2023-09-13 23:42:36
266,vytegra,61.0064,36.4481,58.64,79,39,9.49,RU,2023-09-13 23:42:36
267,turpan,42.9333,89.1667,76.208,34,76,2.3,CN,2023-09-13 23:42:36
268,amalapuram,16.5833,82.0167,76.37,87,100,3.29,IN,2023-09-13 23:42:36
269,maryville,35.7565,-83.9705,78.746,66,75,0.45,US,2023-09-13 23:38:17
270,roma,43.2128,-75.4557,61.718,80,20,5.14,US,2023-09-13 23:42:37
271,narvik,68.4384,17.4272,44.384,87,98,1.14,NO,2023-09-13 23:42:37
272,thunder bay,48.4001,-89.3168,57.182,71,20,3.6,CA,2023-09-13 23:42:38
273,imbituba,-28.24,-48.6703,74.858,95,100,2.36,BR,2023-09-13 23:42:38
274,el nido,11.1858,119.3956,83.156,76,98,5.9,PH,2023-09-13 23:42:38
275,lihue,21.9789,-159.3672,83.44399999999999,77,100,4.12,US,2023-09-13 23:42:39
276,namibe,-15.1961,12.1522,61.016000000000005,80,78,2.82,AO,2023-09-13 23:42:39
277,san jose del guaviare,2.5729,-72.6459,81.896,75,96,1.97,CO,2023-09-13 23:42:39
278,sinop,41.7711,34.8709,59.756,48,0,2.71,TR,2023-09-13 23:42:40
279,remire-montjoly,4.9167,-52.2667,80.636,83,0,1.54,GF,2023-09-13 23:42:40
280,mount pearl,47.5166,-52.7813,60.152,96,100,3.09,CA,2023-09-13 23:42:40
281,sao felix do xingu,-6.6447,-51.995,79.97,36,6,1.48,BR,2023-09-13 23:40:42
282,zapolyarnyy,69.4154,30.8136,38.48,92,73,2.16,RU,2023-09-13 23:42:41
283,antofagasta,-23.65,-70.4,60.08,85,18,7.57,CL,2023-09-13 23:42:07
284,luderitz,-26.6481,15.1594,53.222,91,0,8.79,,2023-09-13 23:42:42
285,mirny,62.5353,113.9611,33.242,93,99,5.81,RU,2023-09-13 23:42:42
286,thanh hoa,19.8,105.7667,74.66,88,100,1.57,VN,2023-09-13 23:42:42
287,iguape,-24.7081,-47.5553,73.346,77,78,1.79,BR,2023-09-13 23:40:26
288,saint-pierre,-21.3393,55.4781,67.676,68,0,3.09,RE,2023-09-13 23:42:43
289,kavieng,-2.5744,150.7967,81.608,78,81,4.32,PG,2023-09-13 23:42:43
290,balqash,46.8481,74.995,50.684,71,21,3.58,KZ,2023-09-13 23:42:44
291,annaba,36.9,7.7667,75.164,94,40,1.54,DZ,2023-09-13 23:42:44
292,majie,25.0333,102.6361,57.182,94,40,2.0,CN,2023-09-13 23:42:44
293,nadi,-17.8,177.4167,84.2,61,40,4.63,FJ,2023-09-13 23:42:45
294,alta,69.9689,23.2717,40.262,75,20,2.57,NO,2023-09-13 23:40:49
295,zagora,30.3484,-5.8365,82.472,29,25,2.19,MA,2023-09-13 23:42:45
296,taroa,8.7058,171.2275,83.94800000000001,75,97,5.34,MH,2023-09-13 23:42:45
